,,,,,,,,,,,,,,,,,,
Title,Organization,Year,Resource Type,Primary Education Sector,Primary Audience,Regulation & Policy,Effective Teaching,Data Privacy/Security Practices,Professional Development,Procurement,System Implementation & Optimization,Differently-abled or Neurodiverse Students,Under-funded / Under-resourced schools,ESL/multi-lingual students,Access and Equity Consideration,Practical Usage,Tools Included,Notes
AI Guidance for Schools Toolkit ,TeachAI,2023 (updated 2025),Toolkit,K-12 Education,"Teachers, School Administrators, ""Local Education Agencies (e.g., school districts, county offices)"", Technology Staff",2,2,2,2,1,2,0,0,1,2,3,"Policy guides or sample policies, ""Instructional images, documents, or presentations"", Personalized User Guides, Articles or Reports, Checklists, Frameworks","Not particularly targeted toward neglected populations; however, the sheer number of specific resources compensates"
AI to Support Neurodivergent Learners in Vocational Education and Training ,Organisation for Economic Co-operation and Development (OECD),2026,Report,Vocational Education,"Policymakers and governments, Teachers, Trainers",2,3,2,1,2,2,3,0,0,3,2,"Sample Use Cases, Frameworks, ""Potential Risks, Disadvantages, or Considerations"", Guidelines",
"Empowering Education Leaders: A Toolkit for Safe, Ethical, and Equitable AI Integration ","U.S. Department of Education, Office of Educational Technology",2024,Toolkit,K-12 Education,"Teachers, School Administrators, Technology Staff, ""Local Education Agencies (e.g., school districts, county offices)"", Counselors, Special Education Instructors, Librarians",2,3,2,1,1,2,2,1,2,2,3,"Policy guides or sample policies, Guidelines, Sample Use Cases, ""Instructional images, documents, or presentations"", Articles or Reports, ""Potential Risks, Disadvantages, or Considerations""",
Digital Technologies for Inclusive Education  ,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2024,Guidance Document,K-12 Education,"Teachers, School Administrators, Policymakers and governments",1,3,1,2,1,2,3,0,1,3,3,"""Potential Risks, Disadvantages, or Considerations"", Guidelines, Personalized User Guides, Sample Use Cases",
An Evidence-Based Toolkit on Leveraging Generative AI to Support the Graduates of the Future,Quality Assurance Agency for Higher Education (entity affiliated with UK government),2025,Toolkit,Higher Education,"Policymakers and governments, School Administrators, Teachers",3,2,2,2,2,2,1,1,1,2,2,"""Instructional images, documents, or presentations"", Articles or Reports, Sample Use Cases, ""Potential Risks, Disadvantages, or Considerations"", Frameworks",
Where AI Meets Accessibility: Considerations for Higher Education,"Teach Access, Every Learner Everywhere",2025,Guidance Document,Higher Education,"Teachers, School Administrators",2,3,1,1,2,1,3,1,1,3,3,"Policy guides or sample policies, Personalized User Guides, ""Potential Risks, Disadvantages, or Considerations"", Sample Use Cases, Guidelines",
AI and education: Protecting the rights of learners | UNESCO,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2025,Report,K-12 Education,"Teachers, Policymakers and governments, School Administrators, ""Local Education Agencies (e.g., school districts, county offices)""",3,2,2,2,2,2,2,2,2,3,3,"Policy guides or sample policies, ""Potential Risks, Disadvantages, or Considerations"", Checklists, Guidelines",Highly relevant for stakeholders in underdeveloped nations; there is a much more global focus here
Australian Framework for Artificial Intelligence in Higher Education,Australian Centre for Student Equity and Success,2025,Framework,Higher Education,"School Administrators, Policymakers and governments, ""Local Education Agencies (e.g., school districts, county offices)""",3,2,2,2,2,2,1,0,1,2,2,"""Potential Risks, Disadvantages, or Considerations"", Guidelines, Sample Use Cases, Policy guides or sample policies, ""Instructional images, documents, or presentations""",Focuses on equitability through Indigenous lens
AI & Accessibility in Education,Consortium for School Networking & CAST,2024,Report,K-12 Education,"Teachers, Policymakers and governments, Technology Staff, ""Local Education Agencies (e.g., school districts, county offices)""",2,2,2,2,2,2,3,1,1,3,3,"""Potential Risks, Disadvantages, or Considerations"", Guidelines, Sample Use Cases, Policy guides or sample policies, ""Instructional images, documents, or presentations""",
Massachusetts Guidance for Artificial Intelligence in K–12 Education,The Massachusetts Department of Elementary and Secondary Education’s Offices of Education Technology (OET),2025,Guidance Document,K-12 Education,"Teachers, School Administrators, Technology Staff, Policymakers and governments, ""Local Education Agencies (e.g., school districts, county offices)"", Special Education Instructors",2,2,2,2,2,2,2,0,2,2,2,"""Instructional images, documents, or presentations"", Personalized User Guides, Frameworks, Sample Use Cases, ""Potential Risks, Disadvantages, or Considerations"", Checklists",Very comprehensive
Artificial Intelligence and the Future of Teaching and Learning (PDF),"U.S. Department of Education, Office of Educational Technology",2023,Report,K-12 Education,"Teachers, Technology Staff, Policymakers and governments, School Administrators, ""Local Education Agencies (e.g., school districts, county offices)""",2,2,2,2,1,2,2,0,1,2,2,"""Instructional images, documents, or presentations"", Articles or Reports, ""Potential Risks, Disadvantages, or Considerations"", Frameworks, Guidelines, Sample Use Cases",
Guidance for the Safe and Effective Use of Artificial Intelligence in California Public Schools,California Department of Education (CDE),2025,Guidance Document,K-12 Education,"Teachers, School Administrators, Counselors, Special Education Instructors, ""Local Education Agencies (e.g., school districts, county offices)""",2,2,2,1,2,2,2,1,2,2,2,"""Instructional images, documents, or presentations"", ""Potential Risks, Disadvantages, or Considerations"", Sample Use Cases, Guidelines, Articles or Reports",
Guidance for generative AI in education and research,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2023 (updated 2026),Guidance Document,"K-12 Education, Research","Policymakers and governments, School Administrators",3,2,2,2,1,2,2,1,1,2,2,"Policy guides or sample policies, ""Instructional images, documents, or presentations"", ""Potential Risks, Disadvantages, or Considerations"", Frameworks, Articles or Reports",
