,,,,,,,,,,,,,,,,,,,
Title,Column 20,Organization,Year,Resource Type,Primary Education Sector,Primary Audience,Regulation & Policy,Effective Teaching,Data Privacy/Security Practices,Professional Development,Procurement,System Implementation & Optimization,Differently-abled or Neurodiverse Students,Under-funded / Under-resourced schools,ESL/multi-lingual students,Access and Equity Consideration,Practical Usage,Tools Included,Notes
AI Guidance for Schools Toolkit,https://www.teachai.org/toolkit,TeachAI,2023 (updated 2025),Toolkit,K-12 Education,"Teachers, School Administrators, ""Local Education Agencies (e.g., school districts, county offices)"", Technology Staff",2,2,2,2,1,2,0,0,1,2,3,"Policy guides or sample policies, ""Instructional images, documents, or presentations"", Personalized User Guides, Articles or Reports, Checklists, Frameworks","Not particularly targeted toward neglected populations; however, the sheer number of specific resources compensates"
AI to Support Neurodivergent Learners in Vocational Education and Training ,https://www.oecd.org/en/publications/ai-to-support-neurodivergent-learners-in-vocational-education-and-training_718d7522-en.html,Organisation for Economic Co-operation and Development (OECD),2026,Report,Vocational Education,"Policymakers and governments, Teachers, Trainers",2,3,2,1,2,2,3,0,0,3,2,"Sample Use Cases, Frameworks, ""Potential Risks, Disadvantages, or Considerations"", Guidelines",
"Empowering Education Leaders: A Toolkit for Safe, Ethical, and Equitable AI Integration ",https://files.eric.ed.gov/fulltext/ED661924.pdf,"U.S. Department of Education, Office of Educational Technology",2024,Toolkit,K-12 Education,"Teachers, School Administrators, Technology Staff, ""Local Education Agencies (e.g., school districts, county offices)"", Counselors, Special Education Instructors, Librarians",2,3,2,1,1,2,2,1,2,2,3,"Policy guides or sample policies, Guidelines, Sample Use Cases, ""Instructional images, documents, or presentations"", Articles or Reports, ""Potential Risks, Disadvantages, or Considerations""",
Digital Technologies for Inclusive Education  ,https://iite.unesco.org/wp-content/uploads/2025/01/IITE_Publication-2_Recommendations.pdf,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2024,Guidance Document,K-12 Education,"Teachers, School Administrators, Policymakers and governments",1,3,1,2,1,2,3,0,1,3,3,"""Potential Risks, Disadvantages, or Considerations"", Guidelines, Personalized User Guides, Sample Use Cases",
An Evidence-Based Toolkit on Leveraging Generative AI to Support the Graduates of the Future,https://www.qaa.ac.uk/become-a-member/make-the-most-of-your-membership/collaborative-enhancement-projects/generative-ai/exploring-the-opportunities-that-generative-artificial-intelligence-offers-for-higher-education/an-evidence-based-toolkit-on-leveraging-generative-ai-to-support-the-graduates-of-the-future,Quality Assurance Agency for Higher Education (entity affiliated with UK government),2025,Toolkit,Higher Education,"Policymakers and governments, School Administrators, Teachers",3,2,2,2,2,2,1,1,1,2,2,"""Instructional images, documents, or presentations"", Articles or Reports, Sample Use Cases, ""Potential Risks, Disadvantages, or Considerations"", Frameworks",
Where AI Meets Accessibility: Considerations for Higher Education,https://www.teachaccess.org/where-ai-meets-accessibility-considerations-for-higher-education-toolkit/,"Teach Access, Every Learner Everywhere",2025,Guidance Document,Higher Education,"Teachers, School Administrators",2,3,1,1,2,1,3,1,1,3,3,"Policy guides or sample policies, Personalized User Guides, ""Potential Risks, Disadvantages, or Considerations"", Sample Use Cases, Guidelines",
AI and education: Protecting the rights of learners | UNESCO,https://www.unesco.org/en/articles/ai-and-education-protecting-rights-learners,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2025,Report,K-12 Education,"Teachers, Policymakers and governments, School Administrators, ""Local Education Agencies (e.g., school districts, county offices)""",3,2,2,2,2,2,2,2,2,3,3,"Policy guides or sample policies, ""Potential Risks, Disadvantages, or Considerations"", Checklists, Guidelines",Highly relevant for stakeholders in underdeveloped nations; there is a much more global focus here
Australian Framework for Artificial Intelligence in Higher Education,https://s3.ap-southeast-2.amazonaws.com/assets.acses.edu.au/app/uploads/2025/12/Lodge-et-al-2025-Australian-Framework-for-Artificial-Intelligence-in-Higher-Education.pdf,Australian Centre for Student Equity and Success,2025,Framework,Higher Education,"School Administrators, Policymakers and governments, ""Local Education Agencies (e.g., school districts, county offices)""",3,2,2,2,2,2,1,0,1,2,2,"""Potential Risks, Disadvantages, or Considerations"", Guidelines, Sample Use Cases, Policy guides or sample policies, ""Instructional images, documents, or presentations""",Focuses on equitability through Indigenous lens
AI & Accessibility in Education,https://www.cosn.org/wp-content/uploads/2024/09/Blaschke_Report_2024_lfp.pdf,Consortium for School Networking & CAST,2024,Report,K-12 Education,"Teachers, Policymakers and governments, Technology Staff, ""Local Education Agencies (e.g., school districts, county offices)""",2,2,2,2,2,2,3,1,1,3,3,"""Potential Risks, Disadvantages, or Considerations"", Guidelines, Sample Use Cases, Policy guides or sample policies, ""Instructional images, documents, or presentations""",
Massachusetts Guidance for Artificial Intelligence in K–12 Education,https://www.doe.mass.edu/edtech/ai/ai-guidance.pdf,The Massachusetts Department of Elementary and Secondary Education’s Offices of Education Technology (OET),2025,Guidance Document,K-12 Education,"Teachers, School Administrators, Technology Staff, Policymakers and governments, ""Local Education Agencies (e.g., school districts, county offices)"", Special Education Instructors",2,2,2,2,2,2,2,0,2,2,2,"""Instructional images, documents, or presentations"", Personalized User Guides, Frameworks, Sample Use Cases, ""Potential Risks, Disadvantages, or Considerations"", Checklists",Very comprehensive
Artificial Intelligence and the Future of Teaching and Learning (PDF),https://www.ed.gov/sites/ed/files/documents/ai-report/ai-report.pdf,"U.S. Department of Education, Office of Educational Technology",2023,Report,K-12 Education,"Teachers, Technology Staff, Policymakers and governments, School Administrators, ""Local Education Agencies (e.g., school districts, county offices)""",2,2,2,2,1,2,2,0,1,2,2,"""Instructional images, documents, or presentations"", Articles or Reports, ""Potential Risks, Disadvantages, or Considerations"", Frameworks, Guidelines, Sample Use Cases",
Guidance for the Safe and Effective Use of Artificial Intelligence in California Public Schools,https://www.cde.ca.gov/ci/pl/documents/aiguidance.pdf,California Department of Education (CDE),2025,Guidance Document,K-12 Education,"Teachers, School Administrators, Counselors, Special Education Instructors, ""Local Education Agencies (e.g., school districts, county offices)""",2,2,2,1,2,2,2,1,2,2,2,"""Instructional images, documents, or presentations"", ""Potential Risks, Disadvantages, or Considerations"", Sample Use Cases, Guidelines, Articles or Reports",
Guidance for generative AI in education and research,https://www.unesco.org/en/articles/guidance-generative-ai-education-and-research,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2023 (updated 2026),Guidance Document,"K-12 Education, Research","Policymakers and governments, School Administrators",3,2,2,2,1,2,2,1,1,2,2,"Policy guides or sample policies, ""Instructional images, documents, or presentations"", ""Potential Risks, Disadvantages, or Considerations"", Frameworks, Articles or Reports",
Framework for AI-Powered Learning Environments • NCEE,https://ncee.org/framework-for-ai-powered-learning-environments/,The National Center on Education and the Economy,2024,Framework,K-12 Education,"Teachers, School Administrators, ""Local Education Agencies (e.g., school districts, county offices)""",3,2,2,1,1,3,1,1,1,1,1,"""Potential Risks, Disadvantages, or Considerations"", Frameworks, Guidelines, Articles or Reports",
Framework for the educational use of Generative Artificial Intelligence in the European Schools,https://www.eursc.eu/BasicTexts/2025-01-D-65-en-2.pdf,Schola Europaea / Office of the Secretary-General,2025,Framework,K-12 Education,"Teachers, School Administrators, ""Local Education Agencies (e.g., school districts, county offices)""",2,3,2,1,0,2,1,0,0,1,1,"""Potential Risks, Disadvantages, or Considerations"", Guidelines, Frameworks",
AI competency framework for teachers ,https://unesdoc.unesco.org/ark:/48223/pf0000391104,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2024,Framework,K-12 Education,Teachers,2,3,2,3,2,2,2,1,1,2,2,"Personalized User Guides, ""Instructional images, documents, or presentations"", Frameworks, Guidelines, ""Potential Risks, Disadvantages, or Considerations"", Sample Use Cases",
The Evidence Base on AI in K-12: A 2026 Review,https://scale.stanford.edu/sites/default/files/The%20Evidence%20Base%20on%20AI%20in%20K-12%20Report.pdf,"Stanford University, Scale Initiative for Accelerator Learning",2026,Report,K-12 Education,"Teachers, School Administrators, Policymakers and governments",2,3,2,1,2,3,2,1,2,2,2,"Articles or Reports, ""Instructional images, documents, or presentations"", Personalized User Guides, Sample Use Cases, ""Potential Risks, Disadvantages, or Considerations""",
